Kingdom,Species,Number,Method,Type,Host,Lamp,Wavelength,Log,Fluence,Protocol,Tailing,Antibiotic_Resistant,Reference,Action_Spectrum
Bacteria,Burkholderia mallei,M13,,Veg,,LP,,1,1.2,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia mallei,M13,,Veg,,LP,,2,2.7,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia mallei,M13,,Veg,,LP,,3,4.1,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia mallei,M13,,Veg,,LP,,4,5.5,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,ATCC 23456,,Veg,,LP,,1,2.8,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,ATCC 23456,,Veg,,LP,,2,5.3,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,ATCC 23456,,Veg,,LP,,3,7.8,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,ATCC 23456,,Veg,,LP,,4,10.3,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,IL195,,Veg,,LP,,1,3.7,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,IL195,,Veg,,LP,,2,5.8,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,IL195,,Veg,,LP,,3,7.8,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella melitensis,IL195,,Veg,,LP,,4,9.9,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,ATCC 11688,,Veg,,LP,,1,1.7,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,ATCC 11688,,Veg,,LP,,2,3.5,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,ATCC 11688,,Veg,,LP,,3,5.5,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,ATCC 11688,,Veg,,LP,,4,7.4,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,CA650,,Veg,,LP,,1,1.4,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,CA650,,Veg,,LP,,2,2.8,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,CA650,,Veg,,LP,,3,4.3,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia pseudomallei,CA650,,Veg,,LP,,4,5.7,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,KS528,,Veg,,LP,,1,2.7,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,KS528,,Veg,,LP,,2,5.3,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,KS528,,Veg,,LP,,3,7.9,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,KS528,,Veg,,LP,,4,10.5,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,MO 562,,Veg,,LP,,1,1.7,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,MO 562,,Veg,,LP,,2,3.6,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,MO 562,,Veg,,LP,,3,5.6,Y,N,,Rose & O’Connell 2009,N
Bacteria,Brucella suis,MO 562,,Veg,,LP,,4,7.5,Y,N,,Rose & O’Connell 2009,N
Bacteria,Campylobacter jejuni,ATCC 43429,,Veg,,LP,,1,1,Y,N,,Wilson et al. 1992,N
Bacteria,Campylobacter jejuni,ATCC 43429,,Veg,,LP,,2,2.1,Y,N,,Wilson et al. 1992,N
Bacteria,Campylobacter jejuni,ATCC 43429,,Veg,,LP,,3,3.4,Y,N,,Wilson et al. 1992,N
Bacteria,Campylobacter jejuni,ATCC 43429,,Veg,,LP,,4,4.6,Y,N,,Wilson et al. 1992,N
Bacteria,Campylobacter jejuni,ATCC 43429,,Veg,,LP,,5,5.8,Y,N,,Wilson et al. 1992,N
Bacteria,Campylobacter jejuni,biotype 1 strain 709/84,,Veg,,LP,,1,0.8,Y,N,,Butler et al. 1987,N
Bacteria,Campylobacter jejuni,biotype 1 strain 709/84,,Veg,,LP,,2,1.3,Y,N,,Butler et al. 1987,N
Bacteria,Campylobacter jejuni,biotype 1 strain 709/84,,Veg,,LP,,3,1.7,Y,N,,Butler et al. 1987,N
Bacteria,Campylobacter jejuni,biotype 1 strain 709/84,,Veg,,LP,,4,2.1,Y,N,,Butler et al. 1987,N
Bacteria,Citrobacter diversus,,,Veg,,LP,,1,5,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter diversus,,,Veg,,LP,,2,7,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter diversus,,,Veg,,LP,,3,9,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter diversus,,,Veg,,LP,,4,11.5,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter diversus,,,Veg,,LP,,5,13,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter freundii,,,Veg,,LP,,1,5,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter freundii,,,Veg,,LP,,2,9,Y,N,,Giese & Darby 2000,N
Bacteria,Citrobacter freundii,,,Veg,,LP,,3,13,Y,N,,Giese & Darby 2000,N
Bacteria,Corynebacterium diphtheriae,,,Veg,,LP,,1,3.4,N,N,,Sharp 1939,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,LP,,1,113,Y,N,,Clauß 2006,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,LP,,2,142,Y,N,,Clauß 2006,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,LP,,3,170,Y,N,,Clauß 2006,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,LP,,4,205,Y,N,,Clauß 2006,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,Excimer,222,1,44,Y,N,,Clauß 2006,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,Excimer,222,2,57,Y,N,,Clauß 2006,N
Bacteria,Deinococcus radiodurans,ATCC 13939,,Veg,,Excimer,222,3,91,Y,N,,Clauß 2006,N
Bacteria,Eberthella typhosa,,,Veg,,LP,,1,2.1,N,N,,Sharp 1939,N
Bacteria,Enterococcus faecium,,,Veg,,LP,,1,7,Y,N,Vancomycin,"McKinney & Pruden
2012",N
Bacteria,Enterococcus faecium,,,Veg,,LP,,2,9,Y,N,Vancomycin,"McKinney & Pruden
2012",N
Bacteria,Enterococcus faecium,,,Veg,,LP,,3,11,Y,N,Vancomycin,"McKinney & Pruden
2012",N
Bacteria,Enterococcus faecium,,,Veg,,LP,,4,13,Y,N,Vancomycin,"McKinney & Pruden
2012",N
Bacteria,Enterococcus faecium,,,Veg,,LP,,5,15,Y,N,Vancomycin,"McKinney & Pruden
2012",N
Bacteria,Enterococcus faecalis,ATCC27285,,Veg,,LP,,1,3.7,Y,Y,,"Moreno-Andrés et al.
2016",N
Bacteria,Enterococcus faecalis,ATCC27285,,Veg,,LP,,2,8,Y,Y,,"Moreno-Andrés et al.
2016",N
Bacteria,Enterococcus faecalis,ATCC27285,,Veg,,LP,,3,14,Y,Y,,"Moreno-Andrés et al.
2016",N
Bacteria,Enterococcus faecalis,DSM 20478,,Veg,,LP,,1,7.1,Y,Y,,Chen et al. 2015,N
Bacteria,Enterococcus faecalis,DSM 20478,,Veg,,LP,,2,8.7,Y,Y,,Chen et al. 2015,N
Bacteria,Enterococcus faecalis,DSM 20478,,Veg,,LP,,3,13,Y,Y,,Chen et al. 2015,N
Bacteria,Enterococcus faecalis,DSM 20478,,Veg,,MP,,1,5.5,Y,Y,,Chen et al. 2015,N
Bacteria,Enterococcus faecalis,DSM 20478,,Veg,,MP,,2,7.6,Y,Y,,Chen et al. 2015,N
Bacteria,Enterococcus faecalis,DSM 20478,,Veg,,MP,,3,12,Y,Y,,Chen et al. 2015,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,3,Y,N,,Chang et al. 1985,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,4.8,Y,N,,Chang et al. 1985,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,6.7,Y,N,,Chang et al. 1985,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,8.4,Y,N,,Chang et al. 1985,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,10,Y,N,,Chang et al. 1985,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,2.5,Y,N,,Harris et al. 1987,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,3,Y,N,,Harris et al. 1987,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,3.5,Y,N,,Harris et al. 1987,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,5,Y,N,,Harris et al. 1987,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,10,Y,N,,Harris et al. 1987,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,6,15,Y,N,,Harris et al. 1987,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,7,N,N,,Hoyer 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,8,N,N,,Hoyer 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,9,N,N,,Hoyer 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,11,N,N,,Hoyer 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,12,N,N,,Hoyer 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,3.4,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,5,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,6.7,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,8.3,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,10,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,3.5,Y,N,,Sommer et al. 2000,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,4.7,Y,N,,Sommer et al. 2000,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,5.5,Y,N,,Sommer et al. 2000,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,6.5,Y,N,,Sommer et al. 2000,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,7.5,Y,N,,Sommer et al. 2000,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,6,9.6,Y,N,,Sommer et al. 2000,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,2.5,Y,N,,Sommer et al. 2001,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,3,Y,N,,Sommer et al. 2001,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,3.5,Y,N,,Sommer et al. 2001,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,4.5,Y,N,,Sommer et al. 2001,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,5,Y,N,,Sommer et al. 2001,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,6,6,Y,N,,Sommer et al. 2001,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,3.9,Y,N,,Zimmer & Slawson 2002,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,5.4,Y,N,,Zimmer & Slawson 2002,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,6.8,Y,N,,Zimmer & Slawson 2002,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,8.2,Y,N,,Zimmer & Slawson 2002,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,9.7,Y,N,,Zimmer & Slawson 2002,N
Algae,Tetraselmis suecica ,K0297,,Green algae,,LP,,1,370,N,N,,Olsen et al. 2015,N
Algae,Tetraselmis suecica ,K0297,,Green algae,,LP,,2,540,N,N,,Olsen et al. 2015,N
Algae,Tetraselmis suecica ,K0297,,Green algae,,LP,,3,720,N,N,,Olsen et al. 2015,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,3.3,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,4.9,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,5.7,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,6.6,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,Excimer,222,1,4.9,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,Excimer,222,2,7.7,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,Excimer,222,3,9.1,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,Excimer,222,4,10.3,Y,N,,Clauß et al. 2005,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP or MP,,1,1.6,Y,N,,Bohrerova et al. 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP or MP,,2,3,Y,N,,Bohrerova et al. 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP or MP,,3,5,Y,N,,Bohrerova et al. 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP or MP,,4,6.5,Y,N,,Bohrerova et al. 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,4.7,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,6.2,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,7.2,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,4,8.3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,5,9.3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,MP,,1,2.5,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,MP,,2,4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,MP,,3,4.7,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,MP,,4,5.3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,MP,,5,6,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,MP,,6,7.3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,1,4.1,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,2,5.1,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,LP,,3,6.2,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,UV-LED,255,1,5.9,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,UV-LED,255,2,7.9,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,UV-LED,275,1,4.3,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,UV-LED,275,2,6.2,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11229,,Veg,,UV-LED,275,3,7.7,Y,N,,Bowker et al. 2011,N
Bacteria,Escherichia coli,ATCC 11303,,Veg,,LP,,1,4,Y,N,,Wu et al. 2005,N
Bacteria,Escherichia coli,ATCC 11303,,Veg,,LP,,2,6,Y,N,,Wu et al. 2005,N
Bacteria,Escherichia coli,ATCC 11303,,Veg,,LP,,3,9,Y,N,,Wu et al. 2005,N
Bacteria,Escherichia coli,ATCC 11303,,Veg,,LP,,4,10,Y,N,,Wu et al. 2005,N
Bacteria,Escherichia coli,ATCC 11303,,Veg,,LP,,5,13,Y,N,,Wu et al. 2005,N
Bacteria,Escherichia coli,ATCC 11303,,Veg,,LP,,6,15,Y,N,,Wu et al. 2005,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,LP,,1,1.1,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,LP,,2,2,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,LP,,3,3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,LP,,4,3.4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,LP,,5,4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,MP,,1,0.9,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,MP,,2,1.6,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,MP,,3,2.4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,MP,,4,3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 11775,,Veg,,MP,,5,3.4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,LP,,1,6.4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,LP,,2,8.9,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,LP,,3,11,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,LP,,4,12,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,LP,,5,13,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,MP,,1,5,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,MP,,2,6.8,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,MP,,3,8.3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,MP,,4,9.4,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,MP,,5,11,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 15597,,Veg,,MP,,6,12,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 25922,,Veg,,LP,,1,6,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 25922,,Veg,,LP,,2,6.5,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 25922,,Veg,,LP,,3,7,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 25922,,Veg,,LP,,4,8,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 25922,,Veg,,LP,,5,9,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 25922,,Veg,,LP,,6,10,Y,N,,Sommer et al. 1998,N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,LP,,1,5.4,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,LP,,2,8.5,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,LP,,3,20,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,UV-LED,265,1,3.6,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,UV-LED,265,2,5.9,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,UV-LED,265,3,17,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 29425,,Veg,,UV-LED,265,4,20,Y,N,,"Chatterley & Linden
2010",N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,LP,,1,7.3,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,LP,,2,10,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,LP,,3,12,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,LP,,4,13,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,LP,,5,15,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,MP,,1,4.8,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,MP,,2,6.8,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,MP,,3,8.2,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,MP,,4,9,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,ATCC 700891,,Veg,,MP,,5,9.8,Y,N,,Quek & Hu 2008,N
Bacteria,Escherichia coli,B,,Veg,,LP,,1,1,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,LP,,2,2.4,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,LP,,3,4.4,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,LP,,4,6,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,MP,,1,0.9,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,MP,,2,2.1,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,MP,,3,4.2,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B,,Veg,,MP,,4,6,Y,N,,Shin et al. 2008,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,LP,,1,1.2,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,LP,,2,3,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,LP,,3,4.7,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,LP,,4,6.5,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,LP,,5,8.2,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,LP,,6,10,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,UV-LED,260,1,1.2,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,UV-LED,260,2,3,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,UV-LED,260,3,4.7,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,UV-LED,260,4,6.5,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,UV-LED,260,5,8.2,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,B ATCC 13033,,Veg,,UV-LED,260,6,10,Y,N,,Sholtes et al. 2016,N
Bacteria,Escherichia coli,C,,Veg,,LP,,1,2,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,C,,Veg,,LP,,2,3,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,C,,Veg,,LP,,3,4,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,C,,Veg,,LP,,4,5.6,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,C,,Veg,,LP,,5,6.5,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,C,,Veg,,LP,,6,8,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,C3000,,Veg,,LP or MP,,1,3,Y,N,,Eischeid & Linden 2007,N
Bacteria,Escherichia coli,C3000,,Veg,,LP or MP,,2,4.3,Y,N,,Eischeid & Linden 2007,N
Bacteria,Escherichia coli,C3000,,Veg,,LP or MP,,3,5.5,Y,N,,Eischeid & Linden 2007,N
Bacteria,Escherichia coli,C3000,,Veg,,LP or MP,,4,7,Y,N,,Eischeid & Linden 2007,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,LP,,1,3.1,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,LP,,2,5.9,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,LP,,3,8,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,LP,,4,13,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,MP,,1,3.1,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,MP,,2,5.9,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,MP,,3,9.6,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CGMCC 1.3373,,Veg,,MP,,4,13,Y,N,,Guo et al. 2009,N
Bacteria,Escherichia coli,CN13,,Veg,,XeBr,282,1,5.5,N,N,,Matafonova et al. 2012,N
Bacteria,Escherichia coli,CN13,,Veg,,XeBr,282,2,7.5,N,N,,Matafonova et al. 2012,N
Bacteria,Escherichia coli,CN13,,Veg,,XeBr,282,3,9.6,N,N,,Matafonova et al. 2012,N
Bacteria,Escherichia coli,CN13,,Veg,,XeBr,282,4,12,N,N,,Matafonova et al. 2012,N
Bacteria,Escherichia coli,K12,,Veg,,LP,,1,1.1,N,N,,Qiu et al. 2004,N
Bacteria,Escherichia coli,K12,,Veg,,LP,,2,1.9,N,N,,Qiu et al. 2004,N
Bacteria,Escherichia coli,K12,,Veg,,LP,,3,2.6,N,N,,Qiu et al. 2004,N
Bacteria,Escherichia coli,K12,,Veg,,LP,,4,3.4,N,N,,Qiu et al. 2004,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP & MP,,1,2,Y,N,,Oguma et al. 2002,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP & MP,,2,4,Y,N,,Oguma et al. 2002,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP & MP,,3,6,Y,N,,Oguma et al. 2002,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP & MP,,4,7,Y,N,,Oguma et al. 2002,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP & MP,,5,9,Y,N,,Oguma et al. 2002,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP,,1,1.5,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP,,2,2,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP,,3,3.5,Y,N,,Otaki et al. 2003,N
Bacteria,Escherichia coli,K12 IFO 3301,,Veg,,LP,,4,4.2,Y,N,,Otaki et al. 2003,N
