Kingdom,Species,Number,Method,Type,Host,Lamp,Wavelength,Log,Fluence,Protocol,Tailing,Antibiotic_Resistant,Reference,Action_Spectrum
Bacteria,Bacillus pumilus,ASFUVRC,,Spore,,Filtered MP,258,3,184,Y,N,,Beck et al. 2015,N
Bacteria,Bacillus pumilus,ASFUVRC,,Spore,,LP,,1,173,Y,N,,Boczek et al. 2016,N
Bacteria,Bacillus pumilus,ASFUVRC,,Spore,,LP,,2,348,Y,N,,Boczek et al. 2016,N
Bacteria,Bacillus pumilus,ATCC 27142,,Spore,,LP,,1,68,Y,N,,Boczek et al. 2016,N
Bacteria,Bacillus pumilus,ATCC 27142,,Spore,,LP,,2,138,Y,N,,Boczek et al. 2016,N
Bacteria,Bacillus pumilus,ATCC 27142,,Spore,,LP,,3,204,Y,N,,Boczek et al. 2016,N
Bacteria,Bacillus pumilus,ATCC 27142,,Spore,,LP,,4,272,Y,N,,Boczek et al. 2016,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,12,Y,N,,Quails & Johnson 1983,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,18,Y,N,,Quails & Johnson 1983,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,24,Y,N,,Quails & Johnson 1983,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,30,Y,N,,Quails & Johnson 1983,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,5,36,Y,N,,Quails & Johnson 1983,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,36,Y,N,,Chang et al. 1985,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,48,Y,N,,Chang et al. 1985,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,59,Y,N,,Chang et al. 1985,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,77,Y,N,,Chang et al. 1985,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,28,Y,N,,Sommer et al. 1998,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,40,Y,N,,Sommer et al. 1998,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,50,Y,N,,Sommer et al. 1998,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,19,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,40,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,60,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,81,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,31,Y,N,,Cabaj et al. 2002,Y
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,47,Y,N,,Cabaj et al. 2002,Y
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,64,Y,N,,Cabaj et al. 2002,Y
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,80,Y,N,,Cabaj et al. 2002,Y
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,25,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,39,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,50,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,60,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,24,Y,N,,"Mamane-Gravetz & Linden
2004",N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,35,Y,N,,"Mamane-Gravetz & Linden
2004",N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,47,Y,N,,"Mamane-Gravetz & Linden
2004",N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,79,Y,N,,"Mamane-Gravetz & Linden
2004",N
Bacteria,Bacillus subtilis,ATCC 6633 ,surface cultured,Spore,,LP,,1,11,Y,N,,Mamane-Gravetz et al. 2005,N
Bacteria,Bacillus subtilis,ATCC 6633 ,surface cultured,Spore,,LP,,2,18,Y,N,,Mamane-Gravetz et al. 2005,N
Bacteria,Bacillus subtilis,ATCC 6633 ,surface cultured,Spore,,LP,,3,24,Y,N,,Mamane-Gravetz et al. 2005,N
Bacteria,Bacillus subtilis,ATCC 6633 ,surface cultured,Spore,,LP,,4,31,Y,N,,Mamane-Gravetz et al. 2005,N
Bacteria,Bacillus subtilis,ATCC 6633,liquid cultured,Spore,,LP,,1,13,Y,N,,Bohrerova et al. 2006,Y
Bacteria,Bacillus subtilis,ATCC 6633,liquid cultured,Spore,,LP,,2,23,Y,N,,Bohrerova et al. 2006,Y
Bacteria,Bacillus subtilis,ATCC 6633,liquid cultured,Spore,,LP,,3,33,Y,N,,Bohrerova et al. 2006,Y
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,1,9,Y,N,,Bohrerova et al. 2006,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,2,15,Y,N,,Bohrerova et al. 2006,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,Excimer,222,1,7,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,Excimer,222,2,12,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,Excimer,222,3,18,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,Excimer,222,4,23,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,1,19,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,2,24,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,3,30,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,4,35,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,,282,1,19,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,,282,2,29,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,,282,3,39,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,,282,4,49,Y,N,,Pennell et al. 2008,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,9,Y,N,,Bichae et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,17,Y,N,,Bichae et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,26,Y,N,,Bichae et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,34,Y,N,,Bichae et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,21,Y,N,,Chen et al. 2009,Y
